,LotArea,YearBuilt,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,PoolArea,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR,LotShape_Reg,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,HeatingQC_Ex,HeatingQC_other,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
1,0.039257590187925386,0.9965174129353234,0.14009819967266776,1,0.1824381926683717,0.4135593220338983,0.3030840127614321,0.6666666666666666,0.375,0.5714285714285714,0,0.5,0.38645980253878703,0.0,0.0,0.276158940397351,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2,0.04460033914841227,0.9830845771144279,0.20654664484451718,1,0.2689684569479966,0.0,0.22367954626019143,0.6666666666666666,0.375,0.42857142857142855,1,0.5,0.3244005641748942,0.34772462077012833,0.0,0.24039735099337747,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3,0.05226602243954563,0.9955223880597015,0.15057283142389524,1,0.19607843137254902,0.41937046004842615,0.3165544133286069,0.6666666666666666,0.375,0.42857142857142855,1,0.5,0.4287729196050776,0.0,0.0,0.29602649006622517,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
4,0.04436804571534763,0.9527363184079602,0.1237315875613748,1,0.2048167092924126,0.36610169491525424,0.304324707550514,0.3333333333333333,0.375,0.5,1,0.75,0.4527503526093089,0.0,0.0,0.18543046357615894,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5,0.0662500871100374,0.9950248756218906,0.18739770867430441,1,0.2440323955669224,0.5099273607748184,0.38957816377171217,0.6666666666666666,0.5,0.6428571428571429,1,0.75,0.5895627644569816,0.22403733955659277,0.0,0.33112582781456956,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
6,0.06557643615414992,0.9915422885572139,0.13027823240589198,1,0.16965046888320545,0.27409200968523,0.24140375753278978,0.3333333333333333,0.125,0.35714285714285715,0,0.5,0.3385049365303244,0.046674445740956826,0.0,0.18940397350993377,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
7,0.04684893958047806,0.9970149253731343,0.27594108019639935,1,0.3610400682011935,0.0,0.3002481389578164,0.6666666666666666,0.375,0.5,1,0.5,0.44851904090267986,0.2975495915985998,0.0,0.4066225165562914,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
8,0.048233408441543356,0.9815920398009951,0.18117839607201308,1,0.23593350383631714,0.47602905569007264,0.37043601559730593,0.6666666666666666,0.375,0.5,1,0.5,0.34132581100141046,0.2742123687281214,0.0,0.26490066225165565,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9,0.028432716207112824,0.9606965174129353,0.155810147299509,1,0.21781756180733164,0.3641646489104116,0.3144275079758951,0.6666666666666666,0.25,0.5714285714285714,1,0.5,0.3300423131170663,0.10501750291715285,0.0,0.17205298013245032,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10,0.034472345466793654,0.9646766169154228,0.16219312602291325,1,0.22953964194373402,0.0,0.19088975540588443,0.3333333333333333,0.25,0.35714285714285715,1,0.25,0.14456981664315938,0.0,0.0,0.1562913907284768,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
